院校名称,院校代码,所在地区,院校主管部门,院校层次,院校满意度
邯郸幼儿师范高等专科学校,14686,河北,河北省教育厅,高职(专科),N/A
邯郸科技职业学院,14695,河北,河北省教育厅,高职(专科),N/A
唐山海运职业学院,14696,河北,河北省教育厅,高职(专科),N/A
邢台应用技术职业学院,14742,河北,河北省教育厅,高职(专科),N/A
衡水健康科技职业学院,14785,河北,河北省教育厅,高职(专科),N/A
沧州航空职业学院,14786,河北,河北省教育厅,高职(专科),N/A
邯郸应用技术职业学院,14787,河北,河北省教育厅,高职(专科),N/A
秦皇岛工业职业技术学院,14788,河北,河北省教育厅,高职(专科),N/A
邢台新能源职业学院,14852,河北,河北省教育厅,高职(专科),N/A
河北石油职业技术大学,16202,河北,河北省教育厅,本科,4.0
河北科技工程职业技术大学,16203,河北,河北省教育厅,本科,3.5
河北工业职业技术大学,16204,河北,河北省教育厅,本科,4.2
东北大学秦皇岛分校,19145,河北,教育部,本科,N/A
河北资源环境职业技术学院,50139,河北,河北省教育厅,高职(专科),3.0
河北环境工程学院,51721,河北,河北省教育厅,本科,4.4
河北青年管理干部学院,51802,河北,河北省教育厅,高职(专科),4.1
山西大学,10108,山西,山西省教育厅,本科,4.3
太原科技大学,10109,山西,山西省教育厅,本科,4.0
中北大学,10110,山西,山西省教育厅,本科,4.2
太原理工大学,10112,山西,山西省教育厅,本科,4.3
山西农业大学,10113,山西,山西省教育厅,本科,4.1
山西医科大学,10114,山西,山西省教育厅,本科,3.8
长治医学院,10117,山西,山西省教育厅,本科,3.7
山西师范大学,10118,山西,山西省教育厅,本科,4.1
太原师范学院,10119,山西,山西省教育厅,本科,4.0
山西大同大学,10120,山西,山西省教育厅,本科,4.0
晋中学院,10121,山西,山西省教育厅,本科,4.0
长治学院,10122,山西,山西省教育厅,本科,4.0
运城学院,10123,山西,山西省教育厅,本科,4.1
忻州师范学院,10124,山西,山西省教育厅,本科,3.9
山西财经大学,10125,山西,山西省教育厅,本科,4.2
山西中医药大学,10809,山西,山西省教育厅,本科,3.9
吕梁学院,10812,山西,山西省教育厅,本科,3.9
太原学院,11242,山西,山西省教育厅,本科,3.8
山西省财政税务专科学校,11630,山西,山西省教育厅,高职(专科),4.6
山西警察学院,12111,山西,山西省教育厅,本科,4.2
长治职业技术学院,12388,山西,山西省教育厅,高职(专科),3.1
山西艺术职业学院,12704,山西,山西省教育厅,高职(专科),3.6
晋城职业技术学院,12774,山西,山西省教育厅,高职(专科),4.0
山西药科职业学院,12776,山西,山西省教育厅,高职(专科),4.1
山西工程职业学院,12777,山西,山西省教育厅,高职(专科),3.7
山西应用科技学院,12779,山西,山西省教育厅,本科,N/A
大同煤炭职业技术学院,12780,山西,山西省教育厅,高职(专科),4.1
山西机电职业技术学院,12888,山西,山西省教育厅,高职(专科),3.8
山西财贸职业技术学院,12890,山西,山西省教育厅,高职(专科),3.7
山西林业职业技术学院,12891,山西,山西省教育厅,高职(专科),3.9
山西水利职业技术学院,12892,山西,山西省教育厅,高职(专科),3.8
阳泉职业技术学院,12893,山西,山西省教育厅,高职(专科),4.1
临汾职业技术学院,13171,山西,山西省教育厅,高职(专科),3.3
山西职业技术学院,13528,山西,山西省教育厅,高职(专科),3.5
山西金融职业学院,13530,山西,山西省教育厅,高职(专科),3.8
太原城市职业技术学院,13532,山西,山西省教育厅,高职(专科),3.9
山西工学院,13534,山西,山西省教育厅,本科,3.7
晋中信息学院,13535,山西,山西省教育厅,本科,4.2
山西电子科技学院,13537,山西,山西省教育厅,本科,3.7
山西晋中理工学院,13538,山西,山西省教育厅,本科,3.7
山西信息职业技术学院,13541,山西,山西省教育厅,高职(专科),3.4
山西科技学院,13597,山西,山西省教育厅,本科,3.9
山西工商学院,13691,山西,山西省教育厅,本科,3.5
山西体育职业学院,13692,山西,山西省教育厅,高职(专科),4.1
山西警官职业学院,13693,山西,山西省教育厅,高职(专科),3.8
山西国际商务职业学院,13694,山西,山西省教育厅,高职(专科),4.1
潞安职业技术学院,13695,山西,山西省教育厅,高职(专科),3.9
太原旅游职业学院,13696,山西,山西省教育厅,高职(专科),3.1
山西旅游职业学院,13697,山西,山西省教育厅,高职(专科),3.9
山西管理职业学院,13698,山西,山西省教育厅,高职(专科),3.9
山西电力职业技术学院,13745,山西,山西省教育厅,高职(专科),3.1
忻州职业技术学院,13821,山西,山西省教育厅,高职(专科),3.3
山西同文职业技术学院,13862,山西,山西省教育厅,高职(专科),3.7
晋中职业技术学院,13913,山西,山西省教育厅,高职(专科),4.1
山西华澳商贸职业学院,13914,山西,山西省教育厅,高职(专科),4.1
山西运城农业职业技术学院,13934,山西,山西省教育厅,高职(专科),3.8
运城幼儿师范高等专科学校,14093,山西,山西省教育厅,高职(专科),4.2
